  id   |       name       |                                                                                            description                                                                                            |                 uuid                 |   device_type   | active | user_extra_id |     start_timestamp
-------+------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------+-----------------+--------+---------------+-------------------------
  2251 | watch1           | desc                                                                                                                                                                                              | 112                                  | WATCH           | t      |          2201 | 2020-09-04 16:35:06.048
 12004 | fitbit           |                                                                                                                                                                                                   | fitbit1                              | FITBIT_WATCH    | t      |         11753 | 2021-10-23 09:54:28.202
  2252 | camera1          | p                                                                                                                                                                                                 | 114                                  | CAMERA_FITNESS  | t      |          2201 | 2020-09-04 17:04:40.255
  2402 | atch3            | ss                                                                                                                                                                                                | 115                                  | WATCH           | t      |          2201 | 2020-09-09 20:39:31.237
  1401 | k                | p                                                                                                                                                                                                 | 111                                  | SHOE            | t      |          2201 | 2020-09-09 21:18:59.137
  2451 | shoe1            | shoe                                                                                                                                                                                              | 201                                  | SHOE            | t      |          2201 | 2020-09-09 21:19:49.799
  2501 | watch10          | average condition                                                                                                                                                                                 | 120                                  | WATCH           | t      |          2201 | 2020-09-14 11:08:49.102
  2752 | camera-mov       | camera-mov                                                                                                                                                                                        | 210                                  | CAMERA_MOVEMENT | t      |          2201 | 2020-09-23 09:07:17.235
 12009 | Sensoria-C1-B43B | {"deviceCode":"B43B","highThreshold":2788.4,"lowThreshold":2783.8,"active":true,"description":"","deviceId":12009,"deviceName":"Sensoria-C1-B43B","deviceUUID":"D9:6A:03:4E:05:C9"}               | D9:6A:03:4E:05:C9                    | SHOE            | t      |         11753 |
  3251 | surveyNIT        | survey                                                                                                                                                                                            | surveyuuid                           | SURVEY          | t      |          2201 | 2021-01-25 22:16:16.548
  3951 | survey1          | survey                                                                                                                                                                                            | 123456789                            | SURVEY          | t      |          1151 | 2021-02-03 18:39:12.171
 12007 | Sensoria-C1-1035 | {"deviceCode":"1035","highThreshold":2169.1,"lowThreshold":2160.2,"active":true,"description":"","deviceId":12007,"deviceName":"Sensoria-C1-1035","deviceUUID":"D0:BE:4D:1D:46:42"}               | D0:BE:4D:1D:46:42                    | SHOE            | t      |         11751 |
  7051 | Sensoria-C1-0C3F | {"active":true,"deviceCode":"0C3F","deviceId":7051,"deviceMac":"EA:46:29:09:D9:0E","deviceName":"Sensoria-C1-0C3F","highThreshold":1568.1,"lowThreshold":1567.2}                                  | EA:46:29:09:D9:0E                    | SHOE            | t      |          6553 |
