,id,device_id,_id,_xt,ei,si,dt,s,c_??,c_ei,c_si,c_?!,c_d1,c_t1,c_n1,c_l1,c_m1,c_N1,c_E1,c_p1,c_p2,c_m2,c_!?,c_n2,c_n3,c_d2,c_t2,c_N2,c_E2,c_n4,c_n5,c_!!,c_00,c_0,c_L1,c_L2,c_en,y,m,d,p
0,64501,4552,60a5a7dbb8162d6c4fd16691,1621469147479,352413080064164,9226101112454759,2021-05-20T00:05:47.479Z,::ffff:37.251.220.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
1,64502,4552,60a5aaa9b8162d6c4fd166e6,1621469865656,352413080064164,9226101112454759,2021-05-20T00:17:45.656Z,::ffff:37.251.220.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
2,64503,4552,60a5adc0b8162d6c4fd16710,1621470656115,352413080064164,9226101112454759,2021-05-20T00:30:56.115Z,::ffff:109.166.135.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
3,64504,4552,60a5adcfb8162d6c4fd16713,1621470671495,352413080064164,9226101112454759,2021-05-20T00:31:11.495Z,::ffff:109.166.135.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
4,64505,4552,60a5b0c6b8162d6c4fd16741,1621471430138,352413080064164,9226101112454759,2021-05-20T00:43:50.138Z,::ffff:109.166.131.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
5,64506,4552,60a5b0efb8162d6c4fd16746,1621471471373,352413080064164,9226101112454759,2021-05-20T00:44:31.373Z,::ffff:109.166.133.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
6,64507,4552,60a5b3bab8162d6c4fd16751,1621472186336,352413080064164,9226101112454759,2021-05-20T00:56:26.336Z,::ffff:109.166.138.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
7,64508,4552,60a5b697b8162d6c4fd1676c,1621472919355,352413080064164,9226101112454759,2021-05-20T01:08:39.355Z,::ffff:37.251.223.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
8,64509,4552,60a5b958b8162d6c4fd1679d,1621473624173,352413080064164,9226101112454759,2021-05-20T01:20:24.173Z,::ffff:109.166.129.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
9,64510,4552,60a5bc04b8162d6c4fd167b3,1621474308653,352413080064164,9226101112454759,2021-05-20T01:31:48.653Z,::ffff:109.166.129.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
10,64511,4552,60a5beccb8162d6c4fd167df,1621475020938,352413080064164,9226101112454759,2021-05-20T01:43:40.938Z,::ffff:109.166.128.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
11,64513,4552,60a5c1cab8162d6c4fd1680e,1621475786094,352413080064164,9226101112454759,2021-05-20T01:56:26.094Z,::ffff:109.166.129.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
12,64514,4552,60a5c1d3b8162d6c4fd16811,1621475795332,352413080064164,9226101112454759,2021-05-20T01:56:35.332Z,::ffff:109.166.129.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
13,64516,4552,60a5c4d9b8162d6c4fd16828,1621476569856,352413080064164,9226101112454759,2021-05-20T02:09:29.856Z,::ffff:109.166.128.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
14,64517,4552,60a5c7d3b8162d6c4fd16838,1621477331239,352413080064164,9226101112454759,2021-05-20T02:22:11.239Z,::ffff:37.251.221.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
15,64518,4552,60a5c7dfb8162d6c4fd1683b,1621477343219,352413080064164,9226101112454759,2021-05-20T02:22:23.219Z,::ffff:37.251.221.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
16,64520,4552,60a5ca8eb8162d6c4fd16845,1621478030276,352413080064164,9226101112454759,2021-05-20T02:33:50.276Z,::ffff:37.251.221.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
17,64521,4552,60a5cd56b8162d6c4fd16853,1621478742175,352413080064164,9226101112454759,2021-05-20T02:45:42.175Z,::ffff:93.122.251.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
18,64523,4552,60a5d2d9b8162d6c4fd1686a,1621480153238,352413080064164,9226101112454759,2021-05-20T03:09:13.238Z,::ffff:109.166.139.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
